Wiss. Name,Name,Biotoptyp,Fläche (m2),Habitatanteil (%)
Oriolus oriolus,Pirol,16 Wälder u. Forsten,2062707.823,20.42%
Oriolus oriolus,Pirol,"08 Feucht- u. Frischgrünland, Zier- u. Trittrasen",1814952.083,17.96%
Oriolus oriolus,Pirol,02 Standgewässer,1346787.147,13.33%
Oriolus oriolus,Pirol,"15 Gebüsche, Baumreihen u. Baumgruppen",1192552.106,11.80%
Oriolus oriolus,Pirol,06 Ruderalfluren,1004834.655,9.95%
Oriolus oriolus,Pirol,04 Gewässerbegleitende Röhrichte,562164.3615,5.56%
Oriolus oriolus,Pirol,"14 Moor-, Bruch- u. Auenwälder",453589.2424,4.49%
Oriolus oriolus,Pirol,19 Einzel- und Reihenhausbebauung,378281.5038,3.74%
Oriolus oriolus,Pirol,07 Landwirtschaftlich genutzte Flächen,369108.9756,3.65%
Oriolus oriolus,Pirol,17 Grün- u. Freiflächen,187799.1821,1.86%
Oriolus oriolus,Pirol,21 Verkehrsflächen,159312.6344,1.58%
Oriolus oriolus,Pirol,10 Grünlandbrache u. Staudenfluren,130578.8731,1.29%
Oriolus oriolus,Pirol,13 Gehölze feuchter Standorte (Moor- und Bruchgebüsche),108965.6099,1.08%
Oriolus oriolus,Pirol,12 Moore u. Sümpfe,95994.61045,0.95%
Oriolus oriolus,Pirol,20 Gewerbe- u. Dienstleistungsflächen,59478.54957,0.59%
Oriolus oriolus,Pirol,01 Fließgewässer,54018.19568,0.53%
Oriolus oriolus,Pirol,"18 Gärten, Kleingärten und siedlungsnahes Grün",50681.34278,0.50%
Oriolus oriolus,Pirol,09 Trocken- u. Magerrasen,35768.39206,0.35%
Oriolus oriolus,Pirol,03 Gewässerbegleitende Tausendblatt-Teichrosengesellschaften,21765.33412,0.22%
Oriolus oriolus,Pirol,22 Sonstiges,10732.76991,0.11%
Oriolus oriolus,Pirol,25 Unversiegelte Wege u. Stege,3004.835398,0.03%
Oriolus oriolus,Pirol,05 Rohbodenstandorte,1221.403523,0.01%
Lanius collurio,Neuntöter,"08 Feucht- u. Frischgrünland, Zier- u. Trittrasen",7687664.066,33.30%
Lanius collurio,Neuntöter,06 Ruderalfluren,2657562.3,11.51%
Lanius collurio,Neuntöter,02 Standgewässer,2628401.02,11.39%
Lanius collurio,Neuntöter,16 Wälder u. Forsten,1738178.7,7.53%
Lanius collurio,Neuntöter,20 Gewerbe- u. Dienstleistungsflächen,1660659.774,7.19%
Lanius collurio,Neuntöter,07 Landwirtschaftlich genutzte Flächen,1652980.254,7.16%
